"index","Events","Location","Fighter1","Fighter2","Winner","fighter1_odds","fighter2_odds","Favourite","Label"
"0","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Curtis Blaydes","Alexander Volkov","Curtis Blaydes","1.32","4.3","f1","Favourite"
"1","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Josh Emmett","Shane Burgos","Josh Emmett","2.75","1.59","f2","Underdog"
"2","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Raquel Pennington","Marion Reneau","Raquel Pennington","1.45","3.16","f1","Favourite"
"3","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Belal Muhammad","Lyman Good","Belal Muhammad","1.89","2.05","f1","Favourite"
"4","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Jim Miller","Roosevelt Roberts","Jim Miller","3.13","1.45","f2","Underdog"
"5","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Clay Guida","Bobby Green","Bobby Green","3.36","1.4","f2","Favourite"
"6","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Brianna Van Buren","Tecia Pennington","Tecia Pennington","1.45","3.1","f1","Underdog"
"7","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Marc-Andre Barriault","Oskar Piechota","Marc-Andre Barriault","1.83","2.2","f1","Favourite"
"8","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Cortney Casey","Gillian Robertson","Gillian Robertson","2.05","1.94","f2","Favourite"
"9","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Frank Camacho","Justin Jaynes","Justin Jaynes","1.44","3.6","f1","Underdog"
"10","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Roxanne Modafferi","Lauren Murphy","Lauren Murphy","2.15","1.9","f2","Favourite"
"11","UFC Fight Night 174","Las Vegas; 20th Jun 2020","Austin Hubbard","Max Rohskopf","Austin Hubbard","2.7","1.59","f2","Underdog"
"12","UFC Fight Night 175","Las Vegas; 27th Jun 2020","Dustin Poirier","Daniel Hooker","Dustin Poirier","1.47","2.95","f1","Favourite"
"13","UFC Fight Night 175","Las Vegas; 27th Jun 2020","Mike Perry","Mickey Gall","Mike Perry","1.32","3.8","f1","Favourite"
"14","UFC Fight Night 175","Las Vegas; 27th Jun 2020","Gian Villante","Maurice Greene","Maurice Greene","3.18","1.48","f2","Favourite"
"15","UFC Fight Night 175","Las Vegas; 27th Jun 2020","Kyle Daukaus","Brendan Allen","Brendan Allen","3.65","1.34","f2","Favourite"
"16","UFC Fight Night 175","Las Vegas; 27th Jun 2020","Takashi Sato","Jason Witt","Takashi Sato","1.41","3.35","f1","Favourite"
"17","UFC Fight Night 175","Las Vegas; 27th Jun 2020","Sean Woodson","Julian Erosa","Julian Erosa","1.2","5.35","f1","Underdog"
"18","UFC Fight Night 175","Las Vegas; 27th Jun 2020","Luis Pena","Khama Worthy","Khama Worthy","1.44","3.25","f1","Underdog"
"19","UFC Fight Night 175","Las Vegas; 27th Jun 2020","Philipe Lins","Tanner Boser","Tanner Boser","1.91","2.05","f1","Underdog"
"20","UFC Fight Night 175","Las Vegas; 27th Jun 2020","Jinh Yu Frey","Kay Hansen","Kay Hansen","2.75","1.59","f2","Favourite"
"21","UFC Fight Night 175","Las Vegas; 27th Jun 2020","Jordan Griffin","Youssef Zalal","Youssef Zalal","2.16","1.83","f2","Favourite"
"22","UFC 251","Yas Island; 11th Jul 2020","Kamaru Usman","Jorge Masvidal","Kamaru Usman","1.48","3.31","f1","Favourite"
